"","logFC","logCPM","PValue","FDR"
"PDXDC1",-2.40868575222587,7.72001161463083,7.97515178960415e-08,3.81574119211098e-07
"HOXB3",-7.3461020784639,-0.241143802064707,8.03099759311616e-08,3.84124370149047e-07
"CALM2",2.44487580416211,9.26767214173311,8.0614013490604e-08,3.85456492624484e-07
"AF070581",4.96236440374083,3.58113101396083,8.07057341130032e-08,3.8569071253687e-07
"GCFC2",-2.38146429924115,4.78787679751019,8.07140828885105e-08,3.8569071253687e-07
"CHRNA7",7.05620557412083,2.0028969683646,8.0787811259032e-08,3.85920895289903e-07
"PCDHA10",5.1336243482944,2.16107343322451,8.102026913521e-08,3.8690893862798e-07
"ART3",5.9566222192351,0.721535006755416,8.19609479859036e-08,3.91277367874532e-07
"TUBA4A",2.90812551513471,6.3680927397493,8.28803297950703e-08,3.95541396936018e-07
"IGH@",-10.5524892310539,1.41401011770108,8.31374266975142e-08,3.9664301520773e-07
"CTSH",-2.2671343673312,5.96427768571788,8.36401080377685e-08,3.98915234166236e-07
"GAA",-2.62459194027694,6.16773467742505,8.37141820688109e-08,3.99142453185679e-07
"RALGDS",2.47451337519893,5.40472731329622,8.5384067201257e-08,4.06975825359527e-07
"RD3L",-8.30268224756248,-0.804559706793932,8.56523197532495e-08,4.08125600591375e-07
"YES1",-2.59260182158911,6.53605330322541,8.57983136792086e-08,4.08692282825252e-07
"PPM1L",2.37614547319802,5.38617304125068,8.64423827177582e-08,4.11630393894087e-07
"GARNL3",2.7113272046078,4.95805131113308,8.76287440944708e-08,4.17148182795242e-07
"ATP6V1B2",2.52631533130505,7.78274306664309,8.89812517537545e-08,4.2345316781648e-07
"DMXL2",2.50834030414421,7.6149515864117,9.01810293573282e-08,4.29027581378594e-07
"NR2F6",-2.83607750423393,5.6941133863783,9.20698267397928e-08,4.37875396463266e-07
"ABCB1",-2.29758236459676,5.91670892633713,9.31316053952989e-08,4.42785655374374e-07
"LGR4",-2.90206861890517,7.37062246845843,9.44705660494437e-08,4.49010244679446e-07
"AK123868",-5.17766454928464,2.55071202957493,9.45855430938618e-08,4.4941526139626e-07
"USP40",-2.32836582763365,5.47865741525856,9.48825061930659e-08,4.50684442754104e-07
"SUOX",-2.46784918805861,5.85969102082762,9.55925445333164e-08,4.53914283790276e-07
"ACSS1",2.68682563120315,4.25702878528588,9.5897039597485e-08,4.55217006577185e-07
"BOLA3-AS1",4.37040678339357,2.55416067170561,9.66768987387247e-08,4.5877472374442e-07
"TP53",-2.90620883182688,3.58671538475244,9.68582643607376e-08,4.59490980787665e-07
"NME5",4.63586794012987,2.069704312536,9.72805405643517e-08,4.61349297274407e-07
"CCP110",2.29144470178076,5.83746053956015,9.81303608376163e-08,4.65233421867506e-07
"PSIP1",2.38061624668364,6.2048071051754,9.82159117085111e-08,4.65492864657413e-07
"EI24",-2.58485300597713,7.02626455630189,9.91044998142758e-08,4.69556933541125e-07
"PXN",-2.46680637877255,4.7941081980422,9.97280320598339e-08,4.72363012579514e-07
"GNPDA2",2.7331346804106,4.24483190554543,1.00232029648699e-07,4.74601331983492e-07
"CLN3",-2.69983606930982,3.75917088909457,1.00740557710441e-07,4.76859693237509e-07
"CYP46A1",4.09907022722491,4.41948120312024,1.01398987015063e-07,4.7982598054762e-07
"PDE4D",2.76834041512099,5.67323478494516,1.02089841087764e-07,4.829437971257e-07
"SYTL4",-2.77814723408594,4.09720607914761,1.02626910116494e-07,4.85332396730053e-07
"SLC35F5",-2.27609734153774,5.9385726397209,1.02880495329022e-07,4.86379298518543e-07
"BBOX1",-3.00528733874105,5.38510130593484,1.03737504303699e-07,4.90277406881332e-07
"CNTN5",6.49701488975559,3.19520344028087,1.04371988630951e-07,4.93121723506685e-07
"ITGB5",-2.40932520838169,6.17059564227954,1.06189880051264e-07,5.01553703088548e-07
"HERC5",-2.79758955766665,3.61180224207295,1.07029671566752e-07,5.05362114026879e-07
"PRKAR2B",3.31627198881276,5.54355313939946,1.07184880767542e-07,5.05936761359766e-07
"MB21D2",4.00480928526519,3.33704158508678,1.08054130485653e-07,5.09880428229174e-07
"DPP9",-2.38782804821669,5.56941821178944,1.08796115230799e-07,5.13221287093115e-07
"PGAP1",2.28533085564995,5.93110085989911,1.09206010081475e-07,5.14993988828942e-07
"EDIL3",5.49315513630184,6.47747800317038,1.10465496611205e-07,5.2077083947212e-07
"HIST3H2A",5.69744967346823,1.40422678893585,1.10543665475535e-07,5.20976700586947e-07
"COL11A1",6.25570871139805,2.25224262694195,1.11278961712989e-07,5.24278415558856e-07
"XAF1",-2.8873973449629,4.64582245265771,1.11343816449453e-07,5.24420345722628e-07
"STXBP5-AS1",5.89040985683357,2.29636848987986,1.11520239843135e-07,5.25087502847316e-07
"CLUH",-2.58760089003861,7.42900642780265,1.11913706648426e-07,5.2677586358829e-07
"GBP4",-2.62270423348202,4.58549881752942,1.11948720508166e-07,5.2677646608704e-07
"OASL",-4.40026081636347,1.45775142936508,1.14122150984407e-07,5.36836286562166e-07
"LYPLA1",-2.44322661929135,6.13354609490231,1.16703918208136e-07,5.48810079396713e-07
"LOC727896",-4.45709532787733,2.9901419375433,1.16953609776347e-07,5.49813047205118e-07
"CAPN5",-2.67225203279053,6.23884898614623,1.17387375610805e-07,5.51680476726783e-07
