"","Gene","S7_avg","S12_avg","S13_avg","Class"
"SPAG17","SPAG17",3.89153712983869,2.76822149815848,2.41954872613936,"not_elevated"
"SPAG5","SPAG5",21.1633646172044,5.60619214351217,15.8583755716376,"not_elevated"
"SPAG6","SPAG6",4.24608488569772,0.448901910023722,1.27784782891425,"individual_elevated"
"SPAG7","SPAG7",51.3253213301203,39.0543615097599,38.9589827745988,"not_elevated"
"SPAG9","SPAG9",243.44896821812,221.278348140606,261.853139934444,"not_elevated"
"SPARC","SPARC",403.074605917591,473.875893209981,482.171185736632,"not_elevated"
"SPARCL1","SPARCL1",760.304237967065,901.321667978885,601.731252626106,"not_elevated"
"SPAST","SPAST",38.8696839542352,33.4171471416927,38.3753751201788,"not_elevated"
"SPATA13","SPATA13",58.7157855923211,86.1105090471147,71.8987903945413,"not_elevated"
"SPATA18","SPATA18",13.4094735766772,3.56078014198067,9.56844112698254,"individual_elevated"
"SPATA2","SPATA2",10.69867844753,14.682742851593,9.96064827825247,"not_elevated"
"SPATA20","SPATA20",38.8450929142157,34.1712093960719,44.6920112254347,"not_elevated"
"SPATA2L","SPATA2L",6.34456764059464,8.3954953720012,6.00094942120267,"not_elevated"
"SPATA5","SPATA5",16.5441833403661,21.994573170908,22.2608317300242,"not_elevated"
"SPATA5L1","SPATA5L1",9.13463362935756,7.1175916760488,6.69217963830913,"not_elevated"
"SPATA6","SPATA6",11.4631872608772,13.3856231497,11.5639086265434,"not_elevated"
"SPATA6L","SPATA6L",3.63361170175235,7.43549559660499,6.46460008419076,"not_elevated"
"SPATA7","SPATA7",11.356189756408,8.52858138192354,15.5531730233577,"not_elevated"
"SPATS2","SPATS2",10.853847795135,13.5025671873506,10.7899059910698,"not_elevated"
"SPATS2L","SPATS2L",76.6651126551047,56.6578220005877,61.7024225204045,"not_elevated"
"SPCS1","SPCS1",37.4021174850668,26.079431141287,30.7846513625339,"not_elevated"
"SPCS2","SPCS2",36.6453732296214,31.4728937720151,34.6014456798121,"not_elevated"
"SPCS3","SPCS3",152.234004466935,125.787777359368,129.806446408306,"not_elevated"
"SPDEF","SPDEF",1.7509309267282,0.231616265344392,0.834402954190494,"individual_elevated"
