"liver_S7"	"brain_S7"	"muscle_S7"	"heart_S7"	"kidney_S7"	"lung_S7"	"liver_S12"	"brain_S12"	"muscle_S12"	"heart_S12"	"kidney_S12"	"lung_S12"	"liver_S13"	"brain_S13"	"muscle_S13"	"heart_S13"	"kidney_S13"	"lung_S13"
"ABAT"	45994	11594	72	234	16218	851	21198	14515	13	126	747	169	20043	13477	64	492	13536	811
"ABCA1"	14959	1219	1529	2287	4088	7115	11793	1245	2583	1090	2240	6138	11133	1986	2449	1470	4074	10936
"ABCA10"	76	249	258	608	107	235	719	409	281	750	67	896	179	417	279	495	223.19	246.22
"ABCA11P"	91.92	276.63	140.58	161.21	168.52	172.52	73.1	396.92	77.58	44.81	382.95	122.82	130.52	422.18	138.92	163.26	206.27	208.42
"ABCA12"	0	18	0	2	11	22	0	18	0	0	11	5	2	11	0	0	61	0
"ABCA13"	160.33	1	8	4	186.23	3043.77	69.85	4	3	0	1082.29	62.85	367.3	13.6	0	130.08	410.18	260.07
"ABCA17P"	0	49	9	4	1	6	5	105	3	1	9	1	0	167	9	4	10	0
"ABCA2"	1186	16887	206	748	2341	1581	2366	16240	605	654	4359	1297	2157	11569	482	1019	2731	839
"ABCA3"	62	5384	226	326	709	13379	96	8969	219	312	1305	11604	91	4867	396	422	877	18906
"ABCA4"	41	14	4	5	326	41	10	68	3	6	1387	49	37	31	7	16	180	15
"ABCA5"	4067	2935	4186	1667	1687	1122	3937	4026	3886	774	1552	1145	3664	7735	4776	853	1704.81	1070.78
"ABCA6"	16660	234	666	1727	353	2458	6956	378	498	2116	266	2078	11134	494	771	2005	515	2272
"ABCA7"	133	242	64	60	213	691	175	451	103	24	387	935	179	580	79	77	278	705
"ABCA8"	4921	2353	1957	7472	679	4909	5287	1040	1803	6551	199	4775	6399	1644	2498	7173	1752	4499
"ABCA9"	712	307	656	2768	213	418	615	455	686	2069	100	1086	2437	373	1334	1856	246	826
"ABCB1"	2686	865	41	321	4441	280	1419	993	15	363	2632	533	2750	1095	29	308	6339	105
"ABCB10"	1454	557	1007	681	771	1293	1204	739	603	340	947	759	1320	1363	1182	540	874	925
"ABCB11"	13514	6	0	1	1	12	6119	8	1	2	7	4	7458	1	0	1	2	1
"ABCB4"	7575	8	280	271	5	37	5460	17	305	112	12	24	5405	19	789	148	32	11
"ABCB5"	0	0	1	0	0	1	0	0	1	0	0	15	0	0	2	6	0	0
"ABCB6"	1522.44	745.12	904.79	334.03	659.44	586.57	925.3	1029.27	740.19	117.86	213.91	295.64	1195.43	998.77	1495.87	270.53	722.19	313.01
"ABCB7"	951	526	934	1071	958	633	489	568	758	208	853	447	815	1141	1027	482	976	732
"ABCB8"	611	735	175	277	723	753	646	1217	297	191	779	488	654	916	262	351	794	695
"ABCB9"	20	651	16	39	99	81	40	1193	12	50	146	52	42	734	18	55	139	86
"ABCC1"	146	478	683	1001	773	2631	110	1001	1334	582	1842	2397	374	626	1594	881	987	2267
"ABCC10"	141	326	140	119	426	812	270	618	142	98	390	627	205	549	210	194	561	754
"ABCC11"	258	13	0	0	55	5	64	17	3	3	15	1	274	34	4	3	53	0
"ABCC12"	0	98	11	0	0	2	0	272	11	3	0	4	0	40	27	1	0	2
"ABCC13"	0	1	1	0	0	15	0	1	0	0	0	27	0	0	0	3	0	21
"ABCC2"	12800	15	54	19	2029	37	8140	3	37	10	85	58	10265	32	34	7	3000	23
